Treatment	Group	Player	Proposal R1	Pledge R1	Contribution R1	Contribution R2	Contribution R3	Contribution R4	Contribution R5	Proposal R6	Pledge R6	Contribution R6	Contribution R7	Contribution R8	Contribution R9	Contribution R10
T3	3	5	120	20	2	2	2	2	2	120	20	2	2	2	2	2
T3	3	6	120	20	2	2	2	2	0	16	16	0	4	4	2	2
T3	4	1	210	32	4	4	2	2	2	156	24	4	4	2	0	2
T3	4	2	160	22	4	4	2	0	2	150	25	2	2	2	4	2
T3	4	3	120	20	0	0	2	2	0	100	10	4	0	2	0	0
T3	4	4	110	20	2	2	2	2	2	120	22	2	2	2	2	4
T3	4	5	100	15	4	4	4	4	0	100	15	4	4	2	0	0
T3	4	6	110	11	0	2	0	0	2	50	15	2	0	0	2	4
T3	5	1	100	4	0	2	4	2	0	160	2	2	4	0	0	2
T3	5	2	150	25	4	4	2	4	2	156	24	4	2	4	2	2
T3	5	3	120	20	2	2	2	0	2	130	20	2	2	2	4	2
T3	5	4	180	30	2	2	2	2	4	140	24	4	4	2	4	4
T3	5	5	120	16	0	2	0	2	0	120	16	0	2	2	2	0
T3	5	6	200	26	2	2	2	2	4	156	40	4	4	4	4	4
T3	6	1	168	28	2	2	4	2	0	156	26	2	0	4	2	0
T3	6	2	120	20	2	2	2	2	2	40	8	2	2	2	0	0
T3	6	3	130	18	0	2	2	2	2	130	16	0	4	0	2	2
T3	6	4	120	20	2	2	2	2	2	120	20	2	2	2	2	2
T3	6	5	90	10	2	0	2	2	2	110	12	2	4	0	0	2
T3	6	6	130	14	2	4	0	0	4	180	25	0	0	4	4	2
T3	7	1	120	20	2	2	2	0	2	100	20	0	0	0	0	0
T3	7	2	160	18	2	4	2	4	2	140	20	4	0	2	4	0
T3	7	3	120	20	0	2	0	4	0	120	15	0	0	0	0	0
T3	7	4	130	20	2	2	2	2	0	120	18	4	2	0	4	0
T3	7	5	120	0	0	0	0	0	0	120	0	0	0	0	0	0
T3	7	6	110	20	2	2	0	0	0	140	8	4	0	0	0	0
T3	8	1	100	30	2	4	2	4	0	120	25	2	4	2	2	0
T3	8	2	121	20	0	2	0	0	0	121	20	0	2	2	2	2
T3	8	3	180	25	2	0	2	2	0	130	0	0	0	0	4	4
T3	8	4	100	20	2	0	2	0	0	120	25	4	4	0	0	0
T3	8	5	90	17	0	0	0	2	2	130	15	0	0	2	0	4
T3	8	6	200	20	4	4	4	2	2	150	20	0	0	0	0	0
T3	9	1	120	0	0	0	0	0	0	120	2	0	0	2	0	0
T3	9	2	140	24	2	4	2	4	4	120	20	4	0	0	2	2
T3	9	3	140	25	2	2	2	2	2	120	20	2	2	2	4	2
T3	9	4	140	15	0	0	4	4	4	150	30	4	4	4	0	2
T3	9	5	140	0	0	2	2	0	2	150	22	4	2	2	2	2
T3	9	6	120	22	4	2	0	4	4	120	22	4	2	0	2	0
T3	10	1	120	30	2	2	2	2	4	120	20	0	2	2	2	2
T3	10	2	120	20	4	2	2	4	0	120	16	2	2	2	2	0
T3	10	3	140	20	2	2	2	2	2	130	12	2	2	2	2	2
T3	10	4	140	30	4	2	4	2	2	140	24	2	2	2	4	4
T3	10	5	120	14	2	2	4	2	4	120	10	2	2	2	0	2
T3	10	6	140	22	2	2	2	2	2	140	22	2	2	4	2	2
T4	1	1	240	40	4	4	4	4	4	240	40	4	4	4	4	4
T4	1	2	150	30	4	4	4	4	4	40	20	2	2	2	2	0
T4	1	3	160	20	4	2	4	2	2	132	10	2	2	2	0	0
T4	1	4	150	20	2	2	4	2	4	124	20	4	4	2	0	0
T4	1	5	140	14	2	2	2	2	2	16	16	2	2	2	0	0
T4	1	6	150	25	2	2	4	4	2	132	22	2	2	0	0	0
T4	2	1	200	10	0	2	0	0	2	132	24	4	2	2	2	4
T4	2	2	120	20	0	0	0	0	0	132	20	4	0	4	0	4
T4	2	3	130	26	2	2	4	2	2	132	24	2	4	2	4	4
T4	2	4	120	20	2	0	4	0	0	110	20	2	0	0	2	0
T4	2	5	60	20	2	2	2	0	2	100	20	2	2	2	2	2
T4	2	6	20	20	2	4	2	0	2	120	20	2	2	2	2	4
T4	3	1	60	8	0	2	0	0	0	132	22	4	4	4	0	4
T4	3	2	140	24	4	4	2	2	2	132	14	2	2	2	2	4
T4	3	3	135	22	2	2	4	2	0	132	12	4	4	0	0	4
T4	3	4	240	24	2	2	2	0	2	132	14	2	2	4	2	2
T4	3	5	100	20	2	2	0	2	2	110	20	2	0	2	0	0
T4	3	6	120	20	2	2	0	2	0	84	14	4	4	2	0	0
T4	4	1	140	22	4	2	2	2	2	120	20	2	2	2	2	2
T4	4	2	120	10	2	2	0	2	0	115	14	4	0	2	2	2
T4	4	3	120	20	2	4	2	4	2	115	18	2	4	2	0	2
T4	4	4	140	25	4	4	2	2	4	120	26	2	2	2	2	0
T4	4	5	120	20	2	2	2	2	2	2	20	2	2	2	2	2
T4	4	6	120	25	2	2	4	2	2	132	12	2	2	2	2	4
T4	5	1	112	15	2	2	2	2	2	112	20	2	2	2	2	2
T4	5	2	120	10	2	0	2	2	0	118	20	4	2	4	4	0
T4	5	3	112	10	2	4	2	2	0	120	15	4	2	4	4	0
T4	5	4	120	20	4	2	4	0	2	130	22	4	2	4	4	0
T4	5	5	120	20	2	2	2	2	2	120	20	2	2	2	4	0
T4	5	6	120	15	0	2	2	0	0	120	14	2	2	2	2	2
T4	6	1	144	24	2	2	4	2	2	132	24	2	4	4	2	0
